2025-12-28 21:34:04 | system | INFO | Web UI mounted from: C:\New folder\Sallie\progeny_root\interface\web
2025-12-28 21:34:04 | system | INFO | Initializing Digital Progeny v5.4.2...
2025-12-28 21:34:04 | llm_router | INFO | LLMRouter initialized: Gemini=disabled, Ollama=fallback
2025-12-28 21:34:04 | system | WARNING | [Init] No Gemini API key - using Ollama only
2025-12-28 21:34:04 | system | INFO | [Init] Initializing limbic...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ limbic initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing memory...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ memory initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing degradation...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ degradation initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing identity...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ identity initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing control...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ control initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing agency...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ agency initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing monologue...
2025-12-28 21:34:04 | synthesis | INFO | [Synthesis] Synthesis system initialized
2025-12-28 21:34:04 | system | INFO | [Init] ✓ monologue initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing dream...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ dream initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing ghost...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ ghost initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing convergence...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ convergence initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing foundry...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ foundry initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing kinship...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ kinship initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing mirror...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ mirror initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing learning...
2025-12-28 21:34:04 | learning | INFO | [LEARNING] Learning system initialized
2025-12-28 21:34:04 | system | INFO | [Init] ✓ learning initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing sync...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ sync initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing push...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ push initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing devices...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ devices initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing filesystem...
2025-12-28 21:34:04 | system | INFO | [Init] ✓ filesystem initialized successfully
2025-12-28 21:34:04 | system | INFO | [Init] Initializing app_control...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ app_control initialized successfully
